Table,NAME,FMTName,Type,Value,Label,FLAT,METRO
AHS2017,VACANCY,VACANCY,C,09,Seasonal-Winter only,YES,YES
AHS2017,VACANCY,VACANCY,C,10,Other seasonal (SPECIFY),YES,YES
AHS2017,VACANCY,VACANCY,C,11,Migratory,YES,YES
AHS2017,VACANCY,VACANCY,C,M,Not reported,YES,YES
AHS2017,VACANCY,VACANCY,C,N,Not applicable,YES,YES
AHS2017,VACINHER,VACINHER,C,1,Yes,YES,YES
AHS2017,VACINHER,VACINHER,C,2,No,YES,YES
AHS2017,VACINHER,VACINHER,C,M,Not reported,YES,YES
AHS2017,VACINHER,VACINHER,C,N,Not applicable,YES,YES
AHS2017,VACINVEST,VACINVEST,C,1,Yes,YES,YES
AHS2017,VACINVEST,VACINVEST,C,2,No,YES,YES
AHS2017,VACINVEST,VACINVEST,C,M,Not reported,YES,YES
AHS2017,VACINVEST,VACINVEST,C,N,Not applicable,YES,YES
AHS2017,VACMONTHS,VACMONTHS,N,0,Less than 1 month,YES,YES
AHS2017,VACMONTHS,VACMONTHS,N,25,More than 2 years,YES,YES
AHS2017,VACMONTHS,VACMONTHS,N,26,Never occupied as a permanent home,YES,YES
AHS2017,VACMONTHS,VACMONTHS,N,.M,Not reported,YES,YES
AHS2017,VACMONTHS,VACMONTHS,N,.N,Not applicable,YES,YES
AHS2017,VACOTH,VACOTH,C,1,Yes,YES,YES
AHS2017,VACOTH,VACOTH,C,2,No,YES,YES
AHS2017,VACOTH,VACOTH,C,M,Not reported,YES,YES
AHS2017,VACOTH,VACOTH,C,N,Not applicable,YES,YES
AHS2017,VACPRIRES,VACPRIRES,C,1,Yes,YES,YES
AHS2017,VACPRIRES,VACPRIRES,C,2,No,YES,YES
AHS2017,VACPRIRES,VACPRIRES,C,M,Not reported,YES,YES
AHS2017,VACPRIRES,VACPRIRES,C,N,Not applicable,YES,YES
AHS2017,VACREC,VACREC,C,1,Yes,YES,YES
AHS2017,VACREC,VACREC,C,2,No,YES,YES
AHS2017,VACREC,VACREC,C,M,Not reported,YES,YES
AHS2017,VACREC,VACREC,C,N,Not applicable,YES,YES
AHS2017,VACRESDAYS,VACRESDAYS,C,1,0-2 nights,YES,YES
AHS2017,VACRESDAYS,VACRESDAYS,C,2,3-7 nights,YES,YES
AHS2017,VACRESDAYS,VACRESDAYS,C,3,8 or more nights,YES,YES
AHS2017,VACRESDAYS,VACRESDAYS,C,M,Not reported,YES,YES
AHS2017,VACRESDAYS,VACRESDAYS,C,N,Not applicable,YES,YES
AHS2017,VACRNTDAYS,VACRNTDAYS,C,1,0-2 nights,YES,YES
AHS2017,VACRNTDAYS,VACRNTDAYS,C,2,3-7 nights,YES,YES
AHS2017,VACRNTDAYS,VACRNTDAYS,C,3,8 or more nights,YES,YES
AHS2017,VACRNTDAYS,VACRNTDAYS,C,M,Not reported,YES,YES
AHS2017,VACRNTDAYS,VACRNTDAYS,C,N,Not applicable,YES,YES
AHS2017,VACSELL,VACSELL,C,1,Yes,YES,YES
AHS2017,VACSELL,VACSELL,C,2,No,YES,YES
AHS2017,VACSELL,VACSELL,C,M,Not reported,YES,YES
AHS2017,VACSELL,VACSELL,C,N,Not applicable,YES,YES
AHS2017,VAN,VAN,C,1,Uses commuter van or commuter bus,YES,YES
AHS2017,VAN,VAN,C,2,Does not use commuter van or commuter bus,YES,YES
AHS2017,VAN,VAN,C,M,Not reported,YES,YES
AHS2017,VAN,VAN,C,N,Not applicable,YES,YES
AHS2017,WAGP1,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP1,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP1,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP10,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP10,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP10,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP11,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP11,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP11,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP12,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP12,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP12,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP13,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP13,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP13,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP14,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP14,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP14,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP15,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP15,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP15,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP16,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP16,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP16,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP17,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP17,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP17,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP18,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP18,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP18,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP2,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP2,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP2,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP3,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP3,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP3,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP4,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP4,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP4,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP5,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP5,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP5,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP6,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP6,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP6,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP7,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP7,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP7,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP8,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP8,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP8,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WAGP9,WAGP,N,0,Does not receive wage income,YES,YES
AHS2017,WAGP9,WAGP,N,9999998,"$9,999,998 or more",YES,YES
AHS2017,WAGP9,WAGP,N,.N,Not applicable,YES,YES
AHS2017,WALK,WALK,C,1,Yes,YES,YES
AHS2017,WALK,WALK,C,2,No,YES,YES
AHS2017,WALK,WALK,C,M,Not reported,YES,YES
AHS2017,WALK,WALK,C,N,Not applicable,YES,YES
AHS2017,WALLCRACK,WALLCRACK,C,1,Yes,YES,YES
AHS2017,WALLCRACK,WALLCRACK,C,2,No,YES,YES
AHS2017,WALLSIDE,WALLSIDE,C,1,Yes,YES,YES
AHS2017,WALLSIDE,WALLSIDE,C,2,No,YES,YES
AHS2017,WALLSIDE,WALLSIDE,C,M,Not reported,YES,YES
AHS2017,WALLSIDE,WALLSIDE,C,N,Not applicable,YES,YES
AHS2017,WALLSLOPE,WALLSLOPE,C,1,Yes,YES,YES
AHS2017,WALLSLOPE,WALLSLOPE,C,2,No,YES,YES
AHS2017,WALLSLOPE,WALLSLOPE,C,M,Not reported,YES,YES
AHS2017,WALLSLOPE,WALLSLOPE,C,N,Not applicable,YES,YES
AHS2017,WASHER,WASHER,C,1,Yes,YES,YES
AHS2017,WASHER,WASHER,C,2,No,YES,YES
AHS2017,WATERAMT,WATERAMT,N,0,Unit does not use water,YES,YES
AHS2017,WATERAMT,WATERAMT,N,1,Vacant home: billed separately,YES,YES
AHS2017,WATERAMT,WATERAMT,N,2,"Occupied or vacant home: included in the rent, site rent, condo fee, other fee, or other utility bill",YES,YES
AHS2017,WATERAMT,WATERAMT,N,3,Occupied home: provided free of charge,YES,YES
AHS2017,WATERAMT,WATERAMT,N,833,$833 or more,YES,YES
AHS2017,WATERAMT,WATERAMT,N,.N,Not applicable,YES,YES
AHS2017,WATSOURCE,WATSOURCE,C,1,Public,YES,YES
AHS2017,WATSOURCE,WATSOURCE,C,2,Well,YES,YES
AHS2017,WATSOURCE,WATSOURCE,C,3,Other,YES,YES
AHS2017,WINBARS,WINBARS,C,1,Yes,YES,YES
AHS2017,WINBARS,WINBARS,C,2,No,YES,YES
AHS2017,WINBARS,WINBARS,C,M,Not reported,YES,YES
AHS2017,WINBARS,WINBARS,C,N,Not applicable,YES,YES
AHS2017,WINBOARD,WINBOARD,C,1,Yes,YES,YES
AHS2017,WINBOARD,WINBOARD,C,2,No,YES,YES
AHS2017,WINBOARD,WINBOARD,C,M,Not reported,YES,YES
AHS2017,WINBOARD,WINBOARD,C,N,Not applicable,YES,YES
AHS2017,WINBROKE,WINBROKE,C,1,Yes,YES,YES
AHS2017,WINBROKE,WINBROKE,C,2,No,YES,YES
AHS2017,WINBROKE,WINBROKE,C,M,Not reported,YES,YES
AHS2017,WINBROKE,WINBROKE,C,N,Not applicable,YES,YES
AHS2017,YRBUILT,YRBUILT,N,1919,1919 or earlier,YES,YES
AHS2017,YRBUILT,YRBUILT,N,1920,1920 to 1929,YES,YES
AHS2017,YRBUILT,YRBUILT,N,1930,1930 to 1939,YES,YES
AHS2017,YRBUILT,YRBUILT,N,1940,1940 to 1949,YES,YES
AHS2017,YRBUILT,YRBUILT,N,1950,1950 to 1959,YES,YES
AHS2017,YRBUILT,YRBUILT,N,1960,1960 to 1969,YES,YES
AHS2017,YRBUILT,YRBUILT,N,1970,1970 to 1979,YES,YES
AHS2017,YRBUILT,YRBUILT,N,1980,1980 to 1989,YES,YES
AHS2017,YRBUILT,YRBUILT,N,1990,1990 to 1999,YES,YES
AHS2017,YRBUILT,YRBUILT,N,2000,2000 to 2009,YES,YES
AHS2017,YRBUILT,YRBUILT,N,2010,2010 to 2017,YES,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,01,Electric powered central air conditioning system,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,02,Piped gas powered central air conditioning system,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,03,LP gas powered central air conditioning system,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,04,Other fuel source powered air conditioning system,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,05,1 room air conditioner,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,06,2 room air conditioners,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,07,3 room air conditioners,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,08,4 room air conditioners,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,09,5 room air conditioners,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,10,6 room air conditioners,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,11,7 or more room air conditioners,NO,YES
AHS2017_M,ACPRIMARY,ACPRIMARY,C,12,No air conditioning,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,01,Secondary electric powered central air conditioning system,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,02,Secondary piped gas powered central air conditioning system,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,03,Secondary LP gas powered central air conditioning system,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,04,Secondary other fuel source powered air conditioning system,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,05,Secondary 1 room air conditioner,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,06,Secondary 2 room air conditioners,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,07,Secondary 3 room air conditioners,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,08,Secondary 4 room air conditioners,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,09,Secondary 5 room air conditioners,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,10,Secondary 6 room air conditioners,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,11,Secondary 7 or more room air conditioners,NO,YES
AHS2017_M,ACSECNDRY,ACSECNDRY,C,12,No secondary air conditioning,NO,YES
AHS2017_M,ADEQUACY,ADEQUACY,C,1,Adequate,NO,YES
AHS2017_M,ADEQUACY,ADEQUACY,C,2,Moderately Inadequate,NO,YES
AHS2017_M,ADEQUACY,ADEQUACY,C,3,Severely Inadequate,NO,YES
AHS2017_M,BATHEXCLU,BATHEXCLU,C,1,Bathroom is outside unit but inside building,NO,YES
AHS2017_M,BATHEXCLU,BATHEXCLU,C,2,Bathroom is outside building,NO,YES
AHS2017_M,BATHEXCLU,BATHEXCLU,C,M,Not reported,NO,YES
AHS2017_M,BATHEXCLU,BATHEXCLU,C,N,Not applicable,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,01,One full bathroom,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,02,1.5 bathrooms,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,03,2 bathrooms,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,04,2.5 bathrooms,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,05,3 bathrooms,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,06,More than 3 bathrooms,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,07,No full bath: Sink and tub present,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,08,No full bath: Sink and toilet present,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,09,No full bath: Tub and toilet present,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,10,No full bath: Sink only,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,11,No full bath: Tub only,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,12,No full bath: Toilet only,NO,YES
AHS2017_M,BATHROOMS,BATHROOMS,C,13,"No full bath: No sink, tub or toilet",NO,YES
AHS2017_M,BIKE,BIKE,C,1,Yes,NO,YES
AHS2017_M,BIKE,BIKE,C,2,No,NO,YES
AHS2017_M,BIKE,BIKE,C,M,Not reported,NO,YES
AHS2017_M,BIKE,BIKE,C,N,Not applicable,NO,YES
AHS2017_M,BLD,BLD,C,01,Mobile home or trailer,NO,YES
AHS2017_M,BLD,BLD,C,02,"One-family house, detached",NO,YES
AHS2017_M,BLD,BLD,C,03,"One-family house, attached",NO,YES
AHS2017_M,BLD,BLD,C,04,2 Apartments,NO,YES
AHS2017_M,BLD,BLD,C,05,3-4 Apartments,NO,YES
AHS2017_M,BLD,BLD,C,06,5-9 Apartments,NO,YES
AHS2017_M,BLD,BLD,C,07,10-19 Apartments,NO,YES
AHS2017_M,BLD,BLD,C,08,20-49 Apartments,NO,YES
AHS2017_M,BLD,BLD,C,09,50 or more apartments,NO,YES
AHS2017_M,BLD,BLD,C,10,"Boat, RV, van, etc.",NO,YES
AHS2017_M,BUS,BUS,C,1,Uses public bus,NO,YES
AHS2017_M,BUS,BUS,C,2,Does not use public bus,NO,YES
AHS2017_M,BUS,BUS,C,M,Not reported,NO,YES
AHS2017_M,BUS,BUS,C,N,Not applicable,NO,YES
AHS2017_M,CARPOOL,CARPOOL,N,0,Does not carpool,NO,YES
AHS2017_M,CARPOOL,CARPOOL,N,5,5 or more people,NO,YES
AHS2017_M,CARPOOL,CARPOOL,N,.M,Not reported,NO,YES
AHS2017_M,CARPOOL,CARPOOL,N,.N,Not applicable,NO,YES
AHS2017_M,CELLPHONE,CELLPHONE,N,.M,Not reported,NO,YES
AHS2017_M,CELLPHONE,CELLPHONE,N,.N,Not applicable,NO,YES
AHS2017_M,CITSHP1,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP1,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP1,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP1,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP1,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP1,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP1,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP10,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP10,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP10,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP10,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP10,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP10,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP10,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP11,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP11,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP11,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP11,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP11,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP11,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP11,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP12,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP12,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP12,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP12,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP12,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP12,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP12,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP13,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP13,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP13,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP13,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP13,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP13,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP13,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP14,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP14,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP14,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP14,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP14,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP14,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP14,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP15,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP15,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP15,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP15,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP15,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP15,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP15,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP16,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP16,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP16,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP16,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP16,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP16,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP16,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP17,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP17,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP17,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP17,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP17,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP17,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP17,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP18,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP18,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP18,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP18,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP18,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP18,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP18,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP2,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP2,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP2,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP2,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP2,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP2,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP2,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP3,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP3,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP3,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP3,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP3,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP3,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP3,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP4,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP4,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP4,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP4,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP4,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP4,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP4,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP5,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP5,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP5,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP5,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP5,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP5,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP5,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP6,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP6,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP6,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP6,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP6,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP6,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP6,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP7,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP7,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP7,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP7,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP7,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP7,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP7,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP8,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP8,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP8,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP8,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP8,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP8,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP8,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,CITSHP9,CITSHP,C,1,"Native, born in US",NO,YES
AHS2017_M,CITSHP9,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",NO,YES
AHS2017_M,CITSHP9,CITSHP,C,3,Native born abroad of US parent(s),NO,YES
AHS2017_M,CITSHP9,CITSHP,C,4,"Foreign born, US citizen by naturalization",NO,YES
AHS2017_M,CITSHP9,CITSHP,C,5,"Foreign born, not a US citizen",NO,YES
AHS2017_M,CITSHP9,CITSHP,C,M,Not reported,NO,YES
AHS2017_M,CITSHP9,CITSHP,C,N,Not applicable,NO,YES
AHS2017_M,COLD,COLD,C,1,Yes,NO,YES
AHS2017_M,COLD,COLD,C,2,No,NO,YES
AHS2017_M,COLD,COLD,C,3,Household did not live in the unit last winter,NO,YES
AHS2017_M,COLD,COLD,C,M,Not reported,NO,YES
AHS2017_M,COLD,COLD,C,N,Not applicable,NO,YES
AHS2017_M,COLDCOST,COLDCOST,C,1,Yes,NO,YES
